3	20	18	2	300	10	10	10	1.3
110	37	55	37	55	0	480
120	35	2	35	2	0	480
130	37	55	37	55	2	480
210	37	55	37	55	0	1080
220	35	2	35	2	0	1080
230	37	55	37	55	0	1080
1	25	19	23	29	8	408
2	49	51	34	2	16	416
3	49	14	32	5	34	434
4	14	21	10	58	139	539
5	50	28	58	54	103	503
6	8	27	38	1	130	530
7	46	20	34	20	216	616
8	18	32	23	19	210	610
9	16	15	32	0	210	610
10	55	15	26	20	304	704
11	58	34	2	57	344	744
12	9	33	17	58	346	746
13	12	15	13	7	445	845
14	0	55	41	29	418	818
15	8	24	17	23	421	821
16	32	1	51	59	554	954
17	25	20	17	34	550	950
18	48	1	6	1	524	924
19	35	47	1	16	613	1013
20	33	36	30	39	649	1049
1001	57	57	57	57	159	559
1002	37	19	37	19	109	509
1003	46	8	59	15	106	506
1011	57	57	57	57	200	600
1012	37	19	37	19	202	602
1013	46	8	59	15	234	634
1021	57	57	57	57	305	705
1022	37	19	37	19	332	732
1023	46	8	59	15	304	704
1031	57	57	57	57	449	849
1032	37	19	37	19	444	844
1033	46	8	59	15	446	846
1041	57	57	57	57	504	904
1042	37	19	37	19	556	956
1043	46	8	59	15	531	931
1051	57	57	57	57	616	1016
1052	37	19	37	19	628	1028
1053	46	8	59	15	644	1044
