3	20	20	2	300	10	10	10	1.3
110	53	40	53	40	0	480
120	29	31	29	31	0	480
130	53	40	53	40	54	480
210	53	40	53	40	0	1080
220	29	31	29	31	0	1080
230	53	40	53	40	0	1080
1	47	13	22	1	28	428
2	42	44	14	22	46	446
3	4	31	0	52	51	451
4	47	51	37	19	122	522
5	29	6	43	38	130	530
6	28	42	6	4	116	516
7	29	35	54	36	233	633
8	33	54	13	0	203	603
9	47	59	28	47	211	611
10	27	49	22	38	338	738
11	37	28	40	36	332	732
12	31	39	13	9	357	757
13	59	22	18	45	452	852
14	47	32	30	42	418	818
15	37	50	15	29	401	801
16	42	13	28	8	530	930
17	44	43	30	30	514	914
18	3	13	44	37	531	931
19	6	3	1	51	646	1046
20	39	49	58	24	632	1032
1001	42	57	42	57	119	519
1002	40	2	40	2	112	512
1003	48	12	50	57	119	519
1004	21	14	45	44	216	616
1011	42	57	42	57	255	655
1012	40	2	40	2	233	633
1013	48	12	50	57	320	720
1014	21	14	45	44	313	713
1021	42	57	42	57	334	734
1022	40	2	40	2	417	817
1023	48	12	50	57	432	832
1024	21	14	45	44	433	833
1031	42	57	42	57	506	906
1032	40	2	40	2	511	911
1033	48	12	50	57	500	900
1034	21	14	45	44	618	1018
1041	42	57	42	57	644	1044
1042	40	2	40	2	651	1051
1043	48	12	50	57	600	1000
1044	21	14	45	44	648	1048
