2	15	8	2	300	10	10	10	1.3
110	51	50	51	50	0	480
120	14	38	14	38	0	480
210	51	50	51	50	0	1800
220	14	38	14	38	0	1800
1	29	38	30	4	24	424
2	31	20	43	42	46	446
3	3	3	13	2	108	508
4	27	30	4	9	154	554
5	42	36	30	42	250	650
6	48	50	13	33	211	611
7	28	11	21	29	316	716
8	58	39	43	33	306	706
9	4	46	37	46	427	827
10	26	58	22	3	454	854
11	16	8	30	57	607	1007
12	48	25	6	11	553	953
13	18	9	41	55	746	1146
14	34	44	48	45	753	1153
15	23	58	53	2	905	1305
1001	3	41	3	41	142	542
1002	41	16	41	16	212	612
1011	3	41	3	41	305	705
1012	41	16	41	16	408	808
1021	3	41	3	41	550	950
1022	41	16	41	16	608	1008
1031	3	41	3	41	711	1111
1032	41	16	41	16	820	1220

