3	20	4	2	500	10	10	10	0.5
110	16	30	16	30	0	480
120	14	1	14	1	0	480
130	16	30	16	30	37	480
210	16	30	16	30	0	1080
220	14	1	14	1	0	1080
230	16	30	16	30	0	1080
1	0	19	56	51	49	349
2	48	3	1	35	40	340
3	8	35	22	32	0	300
4	47	50	54	38	104	404
5	48	28	3	10	127	427
6	33	31	28	56	129	429
7	12	59	42	35	211	511
8	44	12	6	11	231	531
9	16	45	40	48	225	525
10	35	47	52	7	348	648
11	18	25	57	16	312	612
12	48	52	59	0	310	610
13	28	42	48	7	451	751
14	39	11	34	13	436	736
15	54	20	45	55	417	717
16	50	54	43	25	558	858
17	36	39	45	39	519	819
18	25	42	19	51	543	843
19	52	3	38	31	657	957
20	19	3	16	29	606	906
1001	58	24	58	24	107	137
1002	23	52	23	52	126	156
1011	58	24	58	24	215	515
1012	23	52	23	52	408	708
