3	30	4	2	500	10	10	10	0.5
110	2	56	2	56	0	480
120	2	16	2	16	0	480
130	2	56	2	56	0	480
210	2	56	2	56	0	1600
220	2	16	2	16	0	1600
230	2	56	2	56	0	1600
1	22	46	40	58	55	255
2	39	17	3	46	5	205
3	20	46	40	36	22	222
4	45	24	39	27	120	320
5	21	34	54	38	134	334
6	36	55	44	28	135	335
7	2	30	39	42	251	451
8	0	37	14	19	223	423
9	37	52	45	41	250	450
10	18	54	28	7	315	515
11	56	4	28	25	335	535
12	16	6	24	2	351	551
13	0	3	27	50	426	626
14	36	23	4	54	423	623
15	18	16	12	24	443	643
16	32	11	10	34	511	711
17	27	39	27	39	541	741
18	58	27	58	27	505	705
19	27	39	27	39	606	806
20	58	27	58	27	623	823
21	11	52	53	0	633	833
22	51	2	10	11	854	1054
23	33	5	59	46	855	1055
24	38	39	8	27	810	1010
25	56	18	25	27	1030	1230
26	58	1	5	17	1016	1216
27	43	19	0	28	1006	1206
28	6	24	15	49	1247	1447
29	54	4	14	6	1249	1449
30	34	3	18	35	1235	1435
1001	42	38	15	7	323	423
1002	56	10	57	32	343	443
1011	8	0	26	4	459	659
1012	46	34	11	49	455	655
