3	20	4	2	500	10	10	10	0.5
110	10	23	10	23	0	480
120	13	31	13	31	0	480
130	10	23	10	23	43	480
210	10	23	10	23	0	1080
220	13	31	13	31	0	1080
230	10	23	10	23	0	1080
1	16	48	29	54	34	334
2	53	47	4	3	58	358
3	6	3	34	26	33	333
4	31	46	38	16	141	441
5	40	33	11	46	119	419
6	33	2	54	52	109	409
7	58	49	23	7	213	513
8	38	27	32	22	222	522
9	15	29	2	45	245	545
10	23	2	58	38	341	641
11	13	53	1	22	312	612
12	51	59	4	37	316	616
13	3	41	51	22	455	755
14	16	49	57	0	415	715
15	31	46	49	47	448	748
16	23	35	56	38	552	852
17	12	13	11	8	510	810
18	55	12	8	11	555	855
19	1	50	5	18	638	938
20	42	15	14	57	633	933
1001	32	19	32	19	129	159
1002	8	26	8	26	143	173
1011	32	19	32	19	254	454
1012	8	26	8	26	526	726

