3	20	4	2	500	10	10	10	0.5
110	58	46	58	46	0	480
120	47	15	47	15	0	480
130	58	46	58	46	32	480
210	58	46	58	46	0	1080
220	47	15	47	15	0	1080
230	58	46	58	46	0	1080
1	32	38	9	37	10	410
2	20	22	8	33	7	307
3	47	12	51	14	7	307
4	1	8	7	30	107	407
5	15	49	23	16	144	444
6	22	35	7	48	125	425
7	14	4	39	57	224	524
8	10	20	5	44	239	539
9	21	58	4	5	208	508
10	43	3	8	34	301	601
11	52	27	7	58	310	610
12	31	35	7	12	327	627
13	47	18	58	18	438	738
14	16	20	16	53	430	730
15	11	31	52	4	427	727
16	3	49	46	14	528	828
17	3	42	18	37	515	815
18	25	5	7	27	512	812
19	25	28	17	20	627	927
20	46	7	31	39	614	914
1001	25	2	25	2	154	184
1002	31	10	31	10	201	231
1011	25	2	25	2	418	618
1012	31	10	31	10	637	837

