3	20	4	2	500	10	10	10	0.3
110	14	6	14	6	0	480
120	17	0	17	0	0	480
130	14	6	14	6	54	480
210	14	6	14	6	0	1080
220	17	0	17	0	0	1080
230	14	6	14	6	0	1080
1	15	59	25	41	8	408
2	20	10	2	12	54	354
3	25	33	16	21	1	301
4	58	13	29	13	103	403
5	41	47	47	0	150	450
6	11	21	29	31	127	427
7	50	30	25	10	251	551
8	38	4	53	10	200	500
9	36	3	32	52	200	500
10	58	31	42	28	326	626
11	23	39	17	56	318	618
12	22	43	43	21	334	634
13	39	32	25	43	405	705
14	9	30	13	37	400	700
15	34	57	32	38	415	715
16	21	10	53	26	541	841
17	15	16	0	50	534	834
18	51	21	44	44	557	857
19	37	52	31	21	618	918
20	7	33	23	2	604	904
1001	29	49	29	49	120	150
1002	34	55	34	55	122	152
1011	29	49	29	49	238	538
1012	34	55	34	55	439	739
